

--------------------------------------
---

# Intro

| Script Line | Visual Guide |
| But they are building those massive expansions for a generation that just ranked video games above every character Disney has ever created. | `[B-ROLL]:` Kids absorbed in video games, intercut with a Disney park build. — `[SEARCH TERMS]:` kids playing video games couch, children gaming controllers, Roblox Minecraft kids playing — `[SOURCES]:` [Gen Alpha Saves the Box Office?](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) [Gen Alpha Likes Movie Theaters More Than Older Generations](https://variety.com/2025/film/news/gen-alpha-movie-theaters-roblox-minecraft-1236502260/) |
| This is the story of how the greatest entertainment empire in history lost the iPad generation, and why $60 billion cannot buy back a childhood it already missed. | `[B-ROLL]:` A Disney castle at dusk juxtaposed with a lone child lit by a tablet. — `[SEARCH TERMS]:` child on tablet alone dark room, Disney castle dusk wide shot, kid iPad glow face — `[SOURCES]:` [Disney Plans to Expand Parks Investment, Doubling Capital Expenditures Over 10 Years](https://thewaltdisneycompany.com/news/disney-plans-to-expand-investment-in-parks-business/) |


# SECTION 1: The Playground Disney Didn't Build

| Script Line | Visual Guide |
|---|---|
| To understand how Disney lost an entire generation, you have to start with how that generation actually spends its time. Because Gen Alpha doesn't sit back and watch entertainment the way anyone before them did — they climb inside it. | `[B-ROLL]:` Young kids leaning into tablets and consoles, physically immersed in gameplay. — `[SEARCH TERMS]:` kids immersed video game tablet, children playing console leaning in, Gen Alpha gaming couch b-roll — `[SOURCES]:` [[10]](https://www.nu.edu/blog/social-media-trends/) |
| And the data on how they spend their hours is blunt and one-directional. | `[IMAGE]:` A simple data graphic showing a stark one-directional trend in kids' media time toward user-generated content. — `[SEARCH TERMS]:` media consumption trend chart kids, screen time UGC vs TV graphic, one directional trend arrow chart — `[SOURCES]:` [[10]](https://www.nu.edu/blog/social-media-trends/) |
| Compared to the average viewer, kids today spend about 54% more of their time inside user-generated content. | `[CONTEXT]:` User-generated content (UGC) se murad woh media hai jo aam users banate hain — jaise Roblox games aur YouTube/TikTok videos. — `[ARTICLE SHOT]:` kids 54% more time user-generated content; younger audiences user-generated content vs TV statistic; National University social media trends Gen Alpha UGC — `[B-ROLL]:` Kids scrolling YouTube/TikTok and playing Roblox on tablets. — `[SEARCH TERMS]:` kids scrolling YouTube tablet, children watching short videos phone, Roblox gameplay child hands — `[TEXT OVERLAY]:` +54% UGC — `[SOURCES]:` [[10]](https://www.nu.edu/blog/social-media-trends/) |
| They spend roughly 26% less of it on traditional television and film. | `[B-ROLL]:` An ignored television playing while kids look at their devices. — `[SEARCH TERMS]:` TV playing ignored living room kids, family ignoring television screens, kids on phones TV background — `[TEXT OVERLAY]:` −26% TV & Film — `[SOURCES]:` [[10]](https://www.nu.edu/blog/social-media-trends/) |
| That single gap is the whole story of this video. Because Disney's entire craft is the finished, sit-back-and-watch story — the exact thing this generation is abandoning. | `[B-ROLL]:` A polished Disney animated film playing to an empty room. — `[SEARCH TERMS]:` Disney animated movie playing empty room, finished animation film screen, cinema empty seats screen glow — `[SOURCES]:` [[1]](https://www.nrgmr.com/our-thinking/entertainment/gen-alpha-at-the-movies-from-pixels-to-popcorn/) |
| And that migration started by hollowing out the one place Disney built to own childhood. | `[CONTEXT]:` "Woh jagah" se murad Disney Channel hai, jo agli lines mein wazeh hota hai. — `[B-ROLL]:` Vintage Disney Channel branding and idents. — `[SEARCH TERMS]:` Disney Channel logo ident 2000s, Disney Channel bumper vintage, Disney Channel old branding — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| For decades, if you wanted to make a child star, there was one road — and Disney owned it. | `[B-ROLL]:` 2000s-era Disney Channel star promos and shows. — `[SEARCH TERMS]:` Disney Channel 2000s shows promo, Hannah Montana era Disney Channel, Disney Channel teen stars montage — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| Today that road is a ghost town, and the kids who'd have been watching are somewhere Disney can't follow. | `[B-ROLL]:` An empty, darkened TV set / abandoned-studio feel. — `[SEARCH TERMS]:` empty television studio dark, abandoned tv set, dark living room tv off — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| That road was the Disney Channel — the most powerful star-making machine in the history of kids' television. | `[B-ROLL]:` Disney Channel logo and classic idents. — `[SEARCH TERMS]:` Disney Channel logo animation, Disney Channel ident wand, Disney Channel branding archive — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| It minted Britney Spears, Miley Cyrus, and the Jonas Brothers, and a single slot there was a launchpad to global fame. | `[CONTEXT]:` Yeh sab Disney ke launch kiye gaye sitare hain — Britney Spears (Mickey Mouse Club), Miley Cyrus (Hannah Montana) aur Jonas Brothers. — `[IMAGE]:` Archival images of Britney Spears, Miley Cyrus (Hannah Montana era), and the Jonas Brothers from their Disney years. — `[SEARCH TERMS]:` Britney Spears Mickey Mouse Club, Miley Cyrus Hannah Montana Disney, Jonas Brothers Disney Channel era — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| But in 2014, the channel drew nearly 2 million primetime viewers a night. | `[IMAGE]:` A line-graph placeholder showing Disney Channel primetime viewers starting near 2 million in 2014. — `[SEARCH TERMS]:` Disney Channel primetime viewers chart, TV ratings decline graph, cable network viewership chart — `[TEXT OVERLAY]:` 2014: ~2 Million — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| By 2023, that had fallen to 132,000. | `[ARTICLE SHOT]:` Disney Channel 132,000 primetime viewers 2023; Disney Channel viewership 2 million to 132000; Disney Channel loses viewers streaming shift — `[IMAGE]:` The same line graph now plunging to 132,000 in 2023. — `[SEARCH TERMS]:` Disney Channel ratings decline chart, viewership drop graph 2023, cable ratings collapse chart — `[TEXT OVERLAY]:` 2023: 132,000 — `[SOURCES]:` [[11]](https://whatsondisneyplus.com/the-disney-channel-loses-more-viewers-as-shift-to-streaming-continues/) |
| Meanwhile, when the research firm Beano Brain asked more than 30,000 kids which brands they think are coolest, the number-one answer wasn't Disney. | `[CONTEXT]:` Beano Brain ek kids-insights firm hai; usne 30,000 se zyada bachchon se poocha ke kaunsa brand sab se "cool" hai. — `[ARTICLE SHOT]:` Beano Brain coolest brands YouTube number one; Beano Brain 2025 coolest brands kids survey; Beano Brain 30000 kids coolest brands ranking — `[B-ROLL]:` Kids being surveyed beside a wall of brand logos. — `[SEARCH TERMS]:` kids brand survey b-roll, children tablets brand logos, Gen Alpha focus group — `[SOURCES]:` [[12]](https://insights.beanobrain.com/coolest-brands-us-what-your-brand-can-learn-from-2025s-underdogs) |
| It was YouTube — a place where the stars are strangers with no studio behind them at all. | `[B-ROLL]:` The YouTube app interface and a wall of independent-creator thumbnails. — `[SEARCH TERMS]:` YouTube app homepage thumbnails, kids watching YouTube tablet, YouTube creator channel grid — `[TEXT OVERLAY]:` #1: YouTube — `[SOURCES]:` [[12]](https://insights.beanobrain.com/coolest-brands-us-what-your-brand-can-learn-from-2025s-underdogs) |
| Because once the kids left Disney's channel, they didn't scatter. They poured into one piece of software most adults have never even opened. To Gen Alpha, it isn't a game. It's where they live. | `[CONTEXT]:` "Woh software" se murad Roblox hai, jo agli lines mein wazeh hota hai. — `[B-ROLL]:` Immersive Roblox worlds and avatars socializing together. — `[SEARCH TERMS]:` Roblox social hangout world, Roblox avatars players together, Roblox gameplay immersive — `[SOURCES]:` [[4]](https://www.demandsage.com/how-many-people-play-roblox/) |
| Roblox isn't one game — it's a platform of millions of games, every one of them built by its own users. | `[B-ROLL]:` A rapid montage of many different Roblox experiences. — `[SEARCH TERMS]:` Roblox many games montage, Roblox experiences variety, Roblox obby tycoon roleplay gameplay — `[SOURCES]:` [[4]](https://www.demandsage.com/how-many-people-play-roblox/) [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| And by last fall, 151.5 million people were logging in to play every single day. | `[ARTICLE SHOT]:` Roblox 151.5 million daily active users Q3 2025; Roblox Q3 2025 shareholder letter DAU; Roblox DAU 70 percent growth 2025 — `[B-ROLL]:` Roblox login/home screen and bustling gameplay. — `[SEARCH TERMS]:` Roblox home screen interface, Roblox gameplay crowd of avatars, Roblox app launch screen — `[TEXT OVERLAY]:` 151.5M Daily Users — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) [[4]](https://www.demandsage.com/how-many-people-play-roblox/) |
| That number had grown 70% in just the previous year. | `[IMAGE]:` A growth chart showing Roblox DAUs jumping 70% year-over-year. — `[SEARCH TERMS]:` user growth chart upward, 70 percent growth graph, DAU growth bar chart — `[TEXT OVERLAY]:` +70% in One Year — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| So the after-school hangout for this generation isn't a mall, or a backyard, or a TV. | `[B-ROLL]:` A quiet empty mall, an empty backyard, and an ignored TV. — `[SEARCH TERMS]:` empty shopping mall b-roll, empty suburban backyard, unused living room TV — `[SOURCES]:` [[4]](https://www.demandsage.com/how-many-people-play-roblox/) |
| It's a sandbox Disney has no part in, and the gates never close. | `[B-ROLL]:` A continuous Roblox world with players always online. — `[SEARCH TERMS]:` Roblox open world players, Roblox sandbox building gameplay, Roblox players online night — `[SOURCES]:` [[4]](https://www.demandsage.com/how-many-people-play-roblox/) |
| And the most revealing part of Roblox isn't how many kids show up. It's who makes the games they show up for. | `[B-ROLL]:` Young indie game developers working at computers. — `[SEARCH TERMS]:` young game developers coding, indie devs computer team, Roblox Studio game creation screen — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| Last summer, a Roblox game called "Steal a Brainrot" appeared, built by a small group of developers in about four months. | `[CONTEXT]:` "Steal a Brainrot" ek Roblox game hai jo 2025 ki garmiyon mein chand developers ne sirf kareeban chaar maheenon mein banaya tha. — `[B-ROLL]:` "Steal a Brainrot" Roblox gameplay footage. — `[SEARCH TERMS]:` Steal a Brainrot Roblox gameplay, Steal a Brainrot game footage, Roblox Steal a Brainrot — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| By September, it had 25 million people playing it at the very same moment. | `[ARTICLE SHOT]:` Steal a Brainrot 25 million concurrent players record; Roblox Steal a Brainrot concurrent user record September 2025; Roblox Q3 2025 Steal a Brainrot 25 million — `[B-ROLL]:` Steal a Brainrot gameplay with many simultaneous players. — `[SEARCH TERMS]:` Steal a Brainrot Roblox many players, Roblox concurrent players gameplay, Steal a Brainrot server footage — `[TEXT OVERLAY]:` 25 Million at Once — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| ``Insert Video: "Steal a Brainrot" Roblox gameplay with live concurrent-player counter \| 0:00 - 0:10**Transcript:** [no dialogue — gameplay footage; the on-screen counter ticks past 20,000,000 concurrent players]`` | `[INSERT VIDEO]:` The specified "Steal a Brainrot" gameplay clip (0:00–0:10) with the live on-screen concurrent-player counter ticking past 20,000,000 — used to prove the scale of an indie Roblox hit built in about four months. — `[SEARCH TERMS]:` Steal a Brainrot concurrent player counter clip, Roblox Steal a Brainrot 20 million live counter, Steal a Brainrot record concurrent gameplay — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| No trailer, no press tour, no marketing budget at all. That's what Disney is actually up against now — a generation that builds its own hits over a weekend. | `[B-ROLL]:` A young creator building a game solo on a laptop. — `[SEARCH TERMS]:` teen building game laptop, Roblox Studio creating game, young game developer bedroom — `[SOURCES]:` [[5]](https://www.sec.gov/Archives/edgar/data/0001315098/000131509826000009/ex991-q42025shareholder.htm) |
| So the easy assumption became that this generation just won't sit still for a real movie. | `[B-ROLL]:` A distracted child fidgeting in a cinema seat. — `[SEARCH TERMS]:` child restless movie theater, kid distracted phone cinema, bored child theater seat — `[SOURCES]:` [[16]](https://pmc.ncbi.nlm.nih.gov/articles/PMC11939997/) |
| Then, last spring, one film posted an opening weekend bigger than anything in its category — and it didn't come from a studio's imagination at all. | `[CONTEXT]:` Yeh film "A Minecraft Movie" (April 2025) hai, jo video-game adaptation thi. — `[B-ROLL]:` A Minecraft Movie footage / a theater marquee advertising it. — `[SEARCH TERMS]:` A Minecraft Movie trailer, Minecraft Movie theater marquee, Minecraft Movie footage 2025 — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| Because here's the thing Gen Alpha proved in 2025: they will absolutely pack a movie theater. They'll line up, dress up, and lose their minds in the aisles. They just did it for a video game instead of for anything Disney made. | `[B-ROLL]:` Packed theaters of excited kids reacting to A Minecraft Movie. — `[SEARCH TERMS]:` Minecraft Movie theater crowd reaction, kids packed cinema excited, Minecraft Movie audience lining up — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) [[2]](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) |
| A Minecraft Movie opened last year. | `[B-ROLL]:` A Minecraft Movie poster and title card. — `[SEARCH TERMS]:` A Minecraft Movie poster, Minecraft Movie title card, Minecraft Movie promotional art — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| It pulled in about 163 million dollars in its first weekend — the biggest opening any video-game film had ever had. | `[ARTICLE SHOT]:` A Minecraft Movie 162.8 million opening weekend record; Minecraft Movie biggest video game film opening; The Numbers A Minecraft Movie box office — `[B-ROLL]:` A box-office chart topping video-game film openings. — `[SEARCH TERMS]:` box office chart opening weekend, Minecraft Movie box office graphic, film opening weekend bar chart — `[TEXT OVERLAY]:` $163M Opening — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| From there, it climbed to roughly 960 million dollars worldwide. Its budget was just 150 million. | `[IMAGE]:` A graphic comparing the ~$960M worldwide gross against the $150M budget. — `[SEARCH TERMS]:` box office worldwide gross graphic, budget vs gross comparison chart, film profit infographic — `[TEXT OVERLAY]:` ~$960M on $150M Budget — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| And the kids did not watch it quietly. | `[B-ROLL]:` Kids on their feet cheering in a theater. — `[SEARCH TERMS]:` kids cheering movie theater, excited children cinema audience, theater crowd reaction kids — `[SOURCES]:` [[2]](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) |
| In theater after theater, the screenings turned into something Disney hasn't sparked in a generation. | `[B-ROLL]:` A fan-filmed montage of rowdy Minecraft Movie screenings. — `[SEARCH TERMS]:` Minecraft Movie theater reactions viral, chicken jockey theater reaction, Minecraft Movie audience chaos — `[SOURCES]:` [[2]](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) |
| ``Insert Video: "Chicken jockey" theater-reaction compilation (fan-filmed) \| 0:00 - 0:12**Transcript:** [An auditorium erupts — kids on their feet screaming "CHICKEN JOCKEY!" as popcorn rains down over the seats]`` | `[INSERT VIDEO]:` The specified fan-filmed "Chicken jockey" theater-reaction compilation (0:00–0:12) showing an auditorium of kids erupting — proof of the participatory, communal fandom A Minecraft Movie triggered. — `[SEARCH TERMS]:` chicken jockey theater reaction compilation, Minecraft Movie chicken jockey audience, chicken jockey popcorn theater viral — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| And every one of those moments got filmed and posted to TikTok, which is exactly why the same kids came back for a second and a third ticket. | `[B-ROLL]:` Phones filming theater reactions and a TikTok feed of Minecraft Movie clips. — `[SEARCH TERMS]:` filming phone in theater, TikTok feed scrolling clips, teens filming movie reaction — `[SOURCES]:` [[2]](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) |
| Disney spent the entire decade trying to manufacture devotion like that. A sandbox game got it for free. | `[B-ROLL]:` Disney premiere red-carpet marketing contrasted with plain Minecraft block-building gameplay. — `[SEARCH TERMS]:` Disney movie premiere red carpet, Disney marketing billboard, Minecraft sandbox building gameplay — `[SOURCES]:` [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| And just days ago, the sequel was confirmed for 2027. | `[CONTEXT]:` Yeh sequel "A Minecraft Movie Squared" hai, jiska title Minecraft Live par reveal hua aur release 2027 rakhi gayi. — `[ARTICLE SHOT]:` A Minecraft Movie Squared 2027 sequel confirmed; Minecraft Movie sequel title release date 2027; Minecraft Live A Minecraft Movie Squared reveal — `[IMAGE]:` The "A Minecraft Movie Squared" 2027 title card from Minecraft Live. — `[SEARCH TERMS]:` A Minecraft Movie Squared title card, Minecraft Movie 2 reveal, Minecraft Live sequel announcement — `[TEXT OVERLAY]:` Sequel: 2027 — `[SOURCES]:` [[14]](https://www.cinemaexpress.com/english/news/2026/May/31/minecraft-film-sequel-titled-a-minecraft-movie-squared-release-set-for-2027) |
| So Gen Alpha will give a theater two hours of their lives — they'll just give it to a video game instead of to Disney. | `[B-ROLL]:` A full theater of engaged kids watching a video-game film. — `[SEARCH TERMS]:` kids watching movie theater engaged, full cinema children audience, Minecraft Movie theater crowd — `[SOURCES]:` [[2]](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) |
| And the reason why has almost nothing to do with their attention spans. It traces back to a single decision Disney made in 2019. | `[CONTEXT]:` "2019 ka faisla" se murad Disney+ streaming service ka launch (November 2019) hai, jo agle section mein wazeh hota hai. — `[B-ROLL]:` Disney+ launch imagery / 2019 branding. — `[SEARCH TERMS]:` Disney Plus launch 2019, Disney Plus logo reveal, Disney Plus app 2019 — `[SOURCES]:` [[17]](https://en.wikipedia.org/wiki/Disney%2B) |

# SECTION 2: How Disney Broke Its Own Spell `[TURNING POINT]`

| Script Line | Visual Guide |
|---|---|
| There's an easy story about why kids won't sit through movies anymore: tablets fried their attention spans. | `[B-ROLL]:` A toddler swiping a tablet in a high chair. — `[SEARCH TERMS]:` toddler swiping tablet high chair, young child scrolling phone, kid glued to tablet — `[SOURCES]:` [[15]](https://www.commonsensemedia.org/research/the-2025-common-sense-census-media-use-by-kids-zero-to-eight) |
| And the data behind it is real — but it's also a very convenient way for Disney to dodge the blame. | `[B-ROLL]:` The Walt Disney Company corporate headquarters exterior. — `[SEARCH TERMS]:` Walt Disney Company headquarters Burbank, Disney corporate building exterior, Disney studios lot sign — `[SOURCES]:` [[16]](https://pmc.ncbi.nlm.nih.gov/articles/PMC11939997/) |
| The conditioning starts early: by age two, four in ten American kids have their own tablet. | `[ARTICLE SHOT]:` Common Sense Media age two 40 percent tablet; four in ten two year olds own tablet Common Sense; Common Sense Census 2025 kids media use — `[B-ROLL]:` A two-year-old holding their own tablet. — `[SEARCH TERMS]:` toddler own tablet, two year old tablet, baby using tablet high chair — `[TEXT OVERLAY]:` 40% by Age 2 — `[SOURCES]:` [[15]](https://www.commonsensemedia.org/research/the-2025-common-sense-census-media-use-by-kids-zero-to-eight) |
| And a 2025 review of 71 separate studies, covering more than 98,000 people, tied heavy short-form-video use to measurably weaker attention and working memory. | `[CONTEXT]:` Yeh 2025 ka meta-review (Psychological Bulletin) hai jisne 71 studies aur 98,000+ logon ka data dekh kar short-form video aur kamzor tawajjuh ka taalluq bataya. — `[ARTICLE SHOT]:` Psychological Bulletin 2025 short-form video attention 71 studies; short-form video brain rot 98299 participants study; short form video weaker attention working memory — `[B-ROLL]:` A thumb endlessly scrolling short-form videos. — `[SEARCH TERMS]:` thumb scrolling short videos phone, TikTok scrolling closeup, short form video feed scroll — `[SOURCES]:` [[16]](https://pmc.ncbi.nlm.nih.gov/articles/PMC11939997/) |
| So the easy conclusion is that Gen Alpha simply can't sit through a long film. | `[B-ROLL]:` A child losing interest and looking away from a screen. — `[SEARCH TERMS]:` child bored screen looking away, kid short attention span, distracted child watching TV — `[SOURCES]:` [[16]](https://pmc.ncbi.nlm.nih.gov/articles/PMC11939997/) |
